review_text,rating,helpful_yes,helpful_total,Time
Very good quality and value for money,4,28,32,1429688418
"Average product, nothing special",3,9,25,1429764172
Very good quality and value for money,4,16,47,1429839925
"Poor build quality, stopped working",2,0,0,1429915679
"Terrible experience, would not recommend",3,42,48,1429991432
"Average product, nothing special",5,7,37,1430067185
"Terrible experience, would not recommend",3,0,1,1430142939
"Poor build quality, stopped working",4,44,48,1430218692
Fast delivery and excellent quality,3,4,5,1430294446
Packaging was damaged but product works,5,35,45,1430370199
"Great product, works perfectly",2,6,49,1430445952
Decent product for the price,5,4,37,1430521706
"Great product, works perfectly",4,23,41,1430597459
"Great product, works perfectly",2,10,23,1430673213
Decent product for the price,1,16,17,1430748966
"Poor build quality, stopped working",2,4,26,1430824719
"Poor build quality, stopped working",4,19,40,1430900473
Fast delivery and excellent quality,3,2,7,1430976226
Packaging was damaged but product works,5,4,27,1431051979
Not satisfied with the quality,3,9,9,1431127733
"Great product, works perfectly",2,14,16,1431203486
Exceeded my expectations,4,18,28,1431279240
"Great product, works perfectly",5,4,5,1431354993
Not satisfied with the quality,2,2,13,1431430746
"Average product, nothing special",2,0,21,1431506500
Fast delivery and excellent quality,1,0,5,1431582253
"Terrible experience, would not recommend",5,8,25,1431658007
"Terrible experience, would not recommend",4,25,38,1431733760
Not satisfied with the quality,4,0,11,1431809513
"Great product, works perfectly",5,33,34,1431885267
"Terrible experience, would not recommend",5,8,13,1431961020
Not satisfied with the quality,4,18,21,1432036774
Decent product for the price,5,12,22,1432112527
"Poor build quality, stopped working",2,4,47,1432188280
Very good quality and value for money,2,0,6,1432264034
"Poor build quality, stopped working",3,12,39,1432339787
"Great product, works perfectly",1,0,49,1432415541
Not satisfied with the quality,4,24,24,1432491294
"Average product, nothing special",5,3,12,1432567047
"Terrible experience, would not recommend",1,3,20,1432642801
"Terrible experience, would not recommend",2,9,40,1432718554
"Terrible experience, would not recommend",4,8,9,1432794307
Not satisfied with the quality,5,5,8,1432870061
"Poor build quality, stopped working",3,10,14,1432945814
"Average product, nothing special",4,1,1,1433021568
Not satisfied with the quality,1,11,24,1433097321
"Great product, works perfectly",2,3,12,1433173074
Fast delivery and excellent quality,5,2,33,1433248828
"Great product, works perfectly",5,32,33,1433324581
Very good quality and value for money,1,9,34,1433400335
Fast delivery and excellent quality,5,30,37,1433476088
"Great product, works perfectly",4,2,2,1433551841
"Average product, nothing special",5,6,41,1433627595
Packaging was damaged but product works,4,3,5,1433703348
Packaging was damaged but product works,4,13,47,1433779102
Packaging was damaged but product works,4,47,48,1433854855
Very good quality and value for money,4,13,18,1433930608
Very good quality and value for money,2,2,2,1434006362
Packaging was damaged but product works,1,16,17,1434082115
Decent product for the price,3,2,38,1434157869
"Terrible experience, would not recommend",5,5,8,1434233622
Fast delivery and excellent quality,2,2,11,1434309375
Fast delivery and excellent quality,4,2,4,1434385129
"Terrible experience, would not recommend",5,1,2,1434460882
"Poor build quality, stopped working",1,4,10,1434536635
Decent product for the price,4,9,29,1434612389
Packaging was damaged but product works,3,0,3,1434688142
"Terrible experience, would not recommend",5,0,4,1434763896
Not satisfied with the quality,2,0,0,1434839649
Fast delivery and excellent quality,4,12,26,1434915402
Not satisfied with the quality,5,2,27,1434991156
"Terrible experience, would not recommend",5,18,28,1435066909
"Terrible experience, would not recommend",4,10,17,1435142663
"Great product, works perfectly",4,5,11,1435218416
"Great product, works perfectly",4,7,12,1435294169
"Average product, nothing special",5,34,40,1435369923
"Average product, nothing special",4,0,1,1435445676
Very good quality and value for money,1,5,36,1435521430
Very good quality and value for money,5,39,44,1435597183
Packaging was damaged but product works,4,5,15,1435672936
"Great product, works perfectly",4,44,47,1435748690
Packaging was damaged but product works,2,11,23,1435824443
"Terrible experience, would not recommend",4,34,34,1435900196
Packaging was damaged but product works,3,3,21,1435975950
"Terrible experience, would not recommend",4,32,35,1436051703
Fast delivery and excellent quality,2,7,10,1436127457
"Great product, works perfectly",4,35,45,1436203210
"Average product, nothing special",5,21,28,1436278963
Packaging was damaged but product works,1,18,34,1436354717
"Great product, works perfectly",5,42,47,1436430470
Fast delivery and excellent quality,3,11,14,1436506224
Not satisfied with the quality,5,10,30,1436581977
"Average product, nothing special",5,5,41,1436657730
Decent product for the price,4,11,40,1436733484
Exceeded my expectations,5,26,42,1436809237
"Great product, works perfectly",5,8,15,1436884991
"Poor build quality, stopped working",3,8,9,1436960744
"Great product, works perfectly",3,41,48,1437036497
"Terrible experience, would not recommend",4,2,31,1437112251
Decent product for the price,5,0,1,1437188004
"Poor build quality, stopped working",5,19,23,1437263758
Packaging was damaged but product works,5,22,22,1437339511
Fast delivery and excellent quality,3,1,1,1437415264
"Poor build quality, stopped working",5,2,37,1437491018
Packaging was damaged but product works,2,9,30,1437566771
Packaging was damaged but product works,4,23,39,1437642524
Packaging was damaged but product works,1,10,25,1437718278
"Terrible experience, would not recommend",3,7,28,1437794031
"Poor build quality, stopped working",3,1,2,1437869785
Very good quality and value for money,3,3,13,1437945538
Fast delivery and excellent quality,4,10,24,1438021291
Not satisfied with the quality,3,31,47,1438097045
"Great product, works perfectly",3,0,0,1438172798
"Terrible experience, would not recommend",2,2,2,1438248552
"Average product, nothing special",3,20,25,1438324305
Not satisfied with the quality,2,11,17,1438400058
Fast delivery and excellent quality,1,1,8,1438475812
"Terrible experience, would not recommend",4,12,37,1438551565
Not satisfied with the quality,4,21,22,1438627319
"Great product, works perfectly",4,2,20,1438703072
Packaging was damaged but product works,4,0,0,1438778825
Decent product for the price,3,14,20,1438854579
Packaging was damaged but product works,5,21,26,1438930332
Fast delivery and excellent quality,4,27,41,1439006086
"Great product, works perfectly",4,4,5,1439081839
Not satisfied with the quality,1,17,43,1439157592
Exceeded my expectations,3,30,35,1439233346
Decent product for the price,3,27,27,1439309099
Packaging was damaged but product works,3,36,44,1439384852
Very good quality and value for money,4,13,16,1439460606
Not satisfied with the quality,4,24,39,1439536359
Packaging was damaged but product works,4,2,2,1439612113
Not satisfied with the quality,5,7,11,1439687866
Decent product for the price,5,22,38,1439763619
Fast delivery and excellent quality,5,11,11,1439839373
"Average product, nothing special",5,0,1,1439915126
Packaging was damaged but product works,1,29,45,1439990880
Not satisfied with the quality,2,18,21,1440066633
"Average product, nothing special",1,19,22,1440142386
"Average product, nothing special",4,5,29,1440218140
Very good quality and value for money,5,2,4,1440293893
"Average product, nothing special",2,8,8,1440369647
Decent product for the price,5,7,20,1440445400
"Great product, works perfectly",1,5,10,1440521153
"Average product, nothing special",5,3,4,1440596907
Exceeded my expectations,3,22,34,1440672660
Not satisfied with the quality,2,14,26,1440748414
"Average product, nothing special",4,2,48,1440824167
"Poor build quality, stopped working",3,1,1,1440899920
"Great product, works perfectly",3,14,23,1440975674
"Terrible experience, would not recommend",3,23,30,1441051427
"Great product, works perfectly",5,15,32,1441127180
Fast delivery and excellent quality,4,16,38,1441202934
"Terrible experience, would not recommend",3,18,29,1441278687
Very good quality and value for money,4,10,45,1441354441
"Great product, works perfectly",5,4,36,1441430194
Fast delivery and excellent quality,3,4,27,1441505947
"Great product, works perfectly",3,25,30,1441581701
"Average product, nothing special",2,1,10,1441657454
Packaging was damaged but product works,2,7,22,1441733208
Packaging was damaged but product works,4,0,1,1441808961
Fast delivery and excellent quality,2,6,39,1441884714
"Great product, works perfectly",4,15,40,1441960468
Fast delivery and excellent quality,5,22,26,1442036221
Very good quality and value for money,2,13,34,1442111975
Packaging was damaged but product works,4,0,1,1442187728
"Poor build quality, stopped working",3,3,38,1442263481
"Terrible experience, would not recommend",5,35,36,1442339235
Decent product for the price,4,15,20,1442414988
"Average product, nothing special",5,0,4,1442490741
"Poor build quality, stopped working",4,35,44,1442566495
"Poor build quality, stopped working",1,5,20,1442642248
Not satisfied with the quality,4,15,28,1442718002
"Poor build quality, stopped working",5,3,19,1442793755
"Terrible experience, would not recommend",4,37,37,1442869508
"Terrible experience, would not recommend",5,4,19,1442945262
"Average product, nothing special",5,47,49,1443021015
Fast delivery and excellent quality,2,24,24,1443096769
Exceeded my expectations,2,1,1,1443172522
Exceeded my expectations,4,9,31,1443248275
"Great product, works perfectly",3,8,25,1443324029
"Great product, works perfectly",5,3,5,1443399782
Decent product for the price,5,28,40,1443475536
"Terrible experience, would not recommend",3,1,2,1443551289
"Great product, works perfectly",2,3,32,1443627042
Not satisfied with the quality,5,0,0,1443702796
"Great product, works perfectly",3,3,4,1443778549
Very good quality and value for money,5,7,12,1443854303
Very good quality and value for money,3,9,18,1443930056
Not satisfied with the quality,4,3,11,1444005809
"Poor build quality, stopped working",1,44,47,1444081563
Very good quality and value for money,4,12,24,1444157316
Exceeded my expectations,4,17,34,1444233069
Exceeded my expectations,4,0,11,1444308823
Very good quality and value for money,2,20,29,1444384576
"Great product, works perfectly",5,0,4,1444460330
Decent product for the price,5,4,33,1444536083
Decent product for the price,2,5,21,1444611836
Exceeded my expectations,1,37,38,1444687590
Very good quality and value for money,1,2,12,1444763343
"Poor build quality, stopped working",4,11,46,1444839097
"Average product, nothing special",4,0,2,1444914850
"Great product, works perfectly",4,3,19,1444990603
"Great product, works perfectly",2,0,30,1445066357
Decent product for the price,3,4,4,1445142110
Very good quality and value for money,4,7,23,1445217864
Fast delivery and excellent quality,4,36,39,1445293617
Packaging was damaged but product works,5,31,32,1445369370
Very good quality and value for money,2,7,7,1445445124
Not satisfied with the quality,4,1,23,1445520877
Very good quality and value for money,3,11,49,1445596631
"Great product, works perfectly",3,16,19,1445672384
"Average product, nothing special",5,6,15,1445748137
Not satisfied with the quality,4,42,49,1445823891
Decent product for the price,5,3,11,1445899644
"Terrible experience, would not recommend",2,4,12,1445975397
"Terrible experience, would not recommend",2,37,44,1446051151
Fast delivery and excellent quality,5,31,41,1446126904
Decent product for the price,4,10,38,1446202658
"Poor build quality, stopped working",3,0,24,1446278411
Exceeded my expectations,1,24,45,1446354164
Fast delivery and excellent quality,1,9,31,1446429918
"Terrible experience, would not recommend",5,19,23,1446505671
Exceeded my expectations,2,23,47,1446581425
"Poor build quality, stopped working",3,42,46,1446657178
Decent product for the price,2,16,43,1446732931
Exceeded my expectations,3,7,8,1446808685
Decent product for the price,1,26,39,1446884438
"Poor build quality, stopped working",4,17,49,1446960192
Packaging was damaged but product works,1,21,22,1447035945
Not satisfied with the quality,5,15,49,1447111698
Exceeded my expectations,2,1,12,1447187452
Exceeded my expectations,4,4,31,1447263205
Decent product for the price,5,17,49,1447338958
Decent product for the price,4,2,14,1447414712
Exceeded my expectations,4,26,35,1447490465
Decent product for the price,3,16,48,1447566219
"Average product, nothing special",3,2,4,1447641972
"Average product, nothing special",4,6,21,1447717725
Packaging was damaged but product works,5,1,15,1447793479
Packaging was damaged but product works,4,13,40,1447869232
Packaging was damaged but product works,4,5,9,1447944986
"Terrible experience, would not recommend",5,7,23,1448020739
"Terrible experience, would not recommend",4,14,17,1448096492
Very good quality and value for money,1,46,48,1448172246
Fast delivery and excellent quality,4,14,17,1448247999
Not satisfied with the quality,5,0,6,1448323753
"Average product, nothing special",2,2,3,1448399506
"Poor build quality, stopped working",4,24,25,1448475259
Not satisfied with the quality,2,4,4,1448551013
Not satisfied with the quality,4,4,15,1448626766
"Poor build quality, stopped working",1,28,34,1448702520
"Great product, works perfectly",4,20,25,1448778273
Exceeded my expectations,5,5,17,1448854026
Fast delivery and excellent quality,3,1,28,1448929780
Very good quality and value for money,4,5,22,1449005533
Packaging was damaged but product works,5,13,13,1449081286
"Poor build quality, stopped working",5,10,14,1449157040
"Terrible experience, would not recommend",2,3,48,1449232793
Packaging was damaged but product works,3,28,32,1449308547
Decent product for the price,2,24,24,1449384300
"Poor build quality, stopped working",5,8,20,1449460053
Packaging was damaged but product works,5,2,16,1449535807
Exceeded my expectations,4,15,22,1449611560
Exceeded my expectations,5,42,42,1449687314
Exceeded my expectations,4,3,16,1449763067
Packaging was damaged but product works,4,0,13,1449838820
Exceeded my expectations,1,24,28,1449914574
"Average product, nothing special",5,15,19,1449990327
"Terrible experience, would not recommend",2,18,29,1450066081
Very good quality and value for money,5,15,18,1450141834
"Poor build quality, stopped working",5,10,38,1450217587
Not satisfied with the quality,5,9,12,1450293341
Packaging was damaged but product works,1,7,17,1450369094
Packaging was damaged but product works,3,22,22,1450444848
"Terrible experience, would not recommend",3,0,45,1450520601
"Great product, works perfectly",3,25,32,1450596354
Fast delivery and excellent quality,1,27,38,1450672108
Decent product for the price,5,8,39,1450747861
"Poor build quality, stopped working",4,11,17,1450823614
"Great product, works perfectly",3,5,8,1450899368
Decent product for the price,3,7,32,1450975121
Fast delivery and excellent quality,3,25,31,1451050875
Not satisfied with the quality,4,16,16,1451126628
Packaging was damaged but product works,4,9,18,1451202381
Exceeded my expectations,5,26,26,1451278135
"Terrible experience, would not recommend",4,2,5,1451353888
"Poor build quality, stopped working",5,24,34,1451429642
"Terrible experience, would not recommend",5,20,36,1451505395
Very good quality and value for money,2,23,33,1451581148
Not satisfied with the quality,5,18,19,1451656902
Very good quality and value for money,2,17,24,1451732655
Fast delivery and excellent quality,5,2,3,1451808409
Fast delivery and excellent quality,3,1,9,1451884162
"Average product, nothing special",5,4,9,1451959915
Fast delivery and excellent quality,5,9,23,1452035669
"Great product, works perfectly",5,15,20,1452111422
"Great product, works perfectly",5,6,10,1452187175
Exceeded my expectations,3,7,26,1452262929
Packaging was damaged but product works,1,9,15,1452338682
"Terrible experience, would not recommend",3,14,25,1452414436
Packaging was damaged but product works,2,7,29,1452490189
Packaging was damaged but product works,4,12,48,1452565942
"Great product, works perfectly",3,11,15,1452641696
"Terrible experience, would not recommend",5,6,6,1452717449
Exceeded my expectations,4,9,15,1452793203
Not satisfied with the quality,5,11,34,1452868956
"Average product, nothing special",2,10,15,1452944709
"Great product, works perfectly",5,26,39,1453020463
Very good quality and value for money,5,1,11,1453096216
"Average product, nothing special",4,26,34,1453171970
Not satisfied with the quality,4,8,48,1453247723
Fast delivery and excellent quality,5,6,20,1453323476
Packaging was damaged but product works,2,0,49,1453399230
"Poor build quality, stopped working",4,6,42,1453474983
Exceeded my expectations,3,25,35,1453550737
Packaging was damaged but product works,2,6,47,1453626490
Fast delivery and excellent quality,3,6,16,1453702243
Not satisfied with the quality,1,7,31,1453777997
Very good quality and value for money,1,15,40,1453853750
Exceeded my expectations,2,2,5,1453929503
Exceeded my expectations,5,12,23,1454005257
Not satisfied with the quality,4,9,26,1454081010
"Average product, nothing special",5,17,19,1454156764
Decent product for the price,3,6,24,1454232517
Packaging was damaged but product works,3,0,1,1454308270
"Average product, nothing special",4,4,8,1454384024
"Great product, works perfectly",3,4,27,1454459777
Not satisfied with the quality,2,30,37,1454535531
"Great product, works perfectly",4,2,2,1454611284
Very good quality and value for money,2,6,19,1454687037
"Average product, nothing special",4,0,5,1454762791
"Poor build quality, stopped working",4,26,38,1454838544
Decent product for the price,2,3,32,1454914298
Not satisfied with the quality,1,0,0,1454990051
Not satisfied with the quality,5,23,36,1455065804
Decent product for the price,4,2,5,1455141558
Exceeded my expectations,1,41,44,1455217311
Fast delivery and excellent quality,5,2,33,1455293065
Very good quality and value for money,1,26,46,1455368818
"Average product, nothing special",4,2,14,1455444571
Not satisfied with the quality,5,27,44,1455520325
Not satisfied with the quality,2,16,25,1455596078
Decent product for the price,2,9,13,1455671831
"Poor build quality, stopped working",2,0,6,1455747585
Decent product for the price,3,21,45,1455823338
Decent product for the price,2,29,30,1455899092
Packaging was damaged but product works,4,16,23,1455974845
"Average product, nothing special",1,20,30,1456050598
Exceeded my expectations,4,3,28,1456126352
Decent product for the price,5,22,41,1456202105
"Poor build quality, stopped working",5,5,31,1456277859
Exceeded my expectations,4,11,16,1456353612
"Terrible experience, would not recommend",3,8,13,1456429365
"Average product, nothing special",4,19,39,1456505119
Not satisfied with the quality,4,6,35,1456580872
"Terrible experience, would not recommend",3,28,47,1456656626
Exceeded my expectations,2,15,23,1456732379
Exceeded my expectations,5,28,44,1456808132
"Average product, nothing special",3,12,26,1456883886
Fast delivery and excellent quality,2,2,24,1456959639
Packaging was damaged but product works,3,1,31,1457035392
Not satisfied with the quality,3,15,17,1457111146
"Terrible experience, would not recommend",5,29,45,1457186899
Decent product for the price,5,5,17,1457262653
Very good quality and value for money,5,5,36,1457338406
Fast delivery and excellent quality,1,12,25,1457414159
Not satisfied with the quality,3,6,8,1457489913
Very good quality and value for money,4,4,34,1457565666
Packaging was damaged but product works,1,7,7,1457641420
Very good quality and value for money,3,6,19,1457717173
Decent product for the price,5,33,41,1457792926
Very good quality and value for money,2,16,21,1457868680
Fast delivery and excellent quality,4,12,18,1457944433
"Great product, works perfectly",2,29,29,1458020187
Fast delivery and excellent quality,1,24,27,1458095940
Decent product for the price,2,20,34,1458171693
"Terrible experience, would not recommend",5,20,42,1458247447
"Great product, works perfectly",5,9,10,1458323200
Packaging was damaged but product works,5,19,30,1458398954
Fast delivery and excellent quality,4,33,48,1458474707
"Great product, works perfectly",2,4,47,1458550460
Exceeded my expectations,4,17,38,1458626214
Fast delivery and excellent quality,4,10,35,1458701967
"Great product, works perfectly",5,21,29,1458777720
"Average product, nothing special",1,16,22,1458853474
"Terrible experience, would not recommend",4,15,18,1458929227
Not satisfied with the quality,2,5,11,1459004981
Very good quality and value for money,3,4,14,1459080734
"Great product, works perfectly",5,19,30,1459156487
Not satisfied with the quality,4,5,42,1459232241
Fast delivery and excellent quality,3,33,36,1459307994
Not satisfied with the quality,3,13,36,1459383748
Exceeded my expectations,4,6,14,1459459501
"Poor build quality, stopped working",5,19,28,1459535254
"Poor build quality, stopped working",5,12,49,1459611008
"Terrible experience, would not recommend",5,40,42,1459686761
"Great product, works perfectly",5,25,25,1459762515
Exceeded my expectations,3,13,43,1459838268
Very good quality and value for money,4,1,1,1459914021
Packaging was damaged but product works,3,3,19,1459989775
Decent product for the price,3,7,14,1460065528
"Terrible experience, would not recommend",5,3,3,1460141282
Decent product for the price,1,21,21,1460217035
"Poor build quality, stopped working",5,21,49,1460292788
"Average product, nothing special",4,15,37,1460368542
Packaging was damaged but product works,4,9,22,1460444295
Packaging was damaged but product works,4,24,25,1460520048
Decent product for the price,5,4,10,1460595802
"Average product, nothing special",4,26,27,1460671555
Fast delivery and excellent quality,4,0,1,1460747309
Not satisfied with the quality,1,0,7,1460823062
"Terrible experience, would not recommend",4,17,28,1460898815
Exceeded my expectations,2,9,10,1460974569
Packaging was damaged but product works,5,25,36,1461050322
Decent product for the price,4,3,17,1461126076
Not satisfied with the quality,4,0,49,1461201829
"Poor build quality, stopped working",1,3,13,1461277582
Exceeded my expectations,1,3,9,1461353336
Decent product for the price,5,25,34,1461429089
"Terrible experience, would not recommend",1,3,8,1461504843
Very good quality and value for money,1,8,34,1461580596
Packaging was damaged but product works,1,2,10,1461656349
"Poor build quality, stopped working",5,3,43,1461732103
"Terrible experience, would not recommend",5,4,11,1461807856
"Great product, works perfectly",3,0,2,1461883610
"Poor build quality, stopped working",3,22,38,1461959363
Exceeded my expectations,3,5,13,1462035116
"Great product, works perfectly",5,4,27,1462110870
"Poor build quality, stopped working",4,7,10,1462186623
Decent product for the price,2,32,38,1462262376
Very good quality and value for money,2,22,24,1462338130
Not satisfied with the quality,1,5,20,1462413883
Very good quality and value for money,4,4,9,1462489637
Very good quality and value for money,5,15,42,1462565390
Decent product for the price,3,6,14,1462641143
"Average product, nothing special",1,18,18,1462716897
"Poor build quality, stopped working",1,0,47,1462792650
Not satisfied with the quality,5,8,21,1462868404
Fast delivery and excellent quality,3,17,20,1462944157
Decent product for the price,5,2,43,1463019910
"Average product, nothing special",4,23,31,1463095664
Decent product for the price,3,27,49,1463171417
"Average product, nothing special",2,9,22,1463247171
Very good quality and value for money,2,8,12,1463322924
Packaging was damaged but product works,4,4,4,1463398677
Packaging was damaged but product works,5,3,3,1463474431
"Great product, works perfectly",4,2,27,1463550184
Fast delivery and excellent quality,4,5,13,1463625937
Not satisfied with the quality,1,6,7,1463701691
"Average product, nothing special",5,0,8,1463777444
"Poor build quality, stopped working",5,6,34,1463853198
Very good quality and value for money,3,15,36,1463928951
Exceeded my expectations,5,20,20,1464004704
"Poor build quality, stopped working",4,7,17,1464080458
"Poor build quality, stopped working",4,19,32,1464156211
"Average product, nothing special",5,7,7,1464231965
Not satisfied with the quality,5,46,48,1464307718
Very good quality and value for money,4,4,16,1464383471
Very good quality and value for money,2,5,42,1464459225
Not satisfied with the quality,3,27,30,1464534978
Packaging was damaged but product works,5,4,33,1464610732
"Terrible experience, would not recommend",2,0,5,1464686485
"Great product, works perfectly",3,6,21,1464762238
Decent product for the price,3,5,13,1464837992
"Great product, works perfectly",3,1,2,1464913745
Packaging was damaged but product works,4,10,11,1464989499
"Average product, nothing special",5,20,35,1465065252
"Average product, nothing special",2,7,11,1465141005
Fast delivery and excellent quality,2,36,44,1465216759
"Great product, works perfectly",2,0,1,1465292512
"Great product, works perfectly",5,1,1,1465368265
Decent product for the price,4,5,14,1465444019
"Average product, nothing special",3,15,22,1465519772
"Poor build quality, stopped working",5,13,28,1465595526
"Great product, works perfectly",5,11,16,1465671279
Decent product for the price,5,16,31,1465747032
Not satisfied with the quality,5,4,6,1465822786
Exceeded my expectations,3,13,29,1465898539
Not satisfied with the quality,5,5,27,1465974293
Decent product for the price,4,6,13,1466050046
"Poor build quality, stopped working",5,13,43,1466125799
Fast delivery and excellent quality,5,17,29,1466201553
"Average product, nothing special",5,0,16,1466277306
Fast delivery and excellent quality,4,5,31,1466353060
Fast delivery and excellent quality,2,2,45,1466428813
Decent product for the price,4,4,5,1466504566
"Average product, nothing special",5,11,23,1466580320
Very good quality and value for money,5,2,5,1466656073
Exceeded my expectations,1,12,26,1466731827
"Great product, works perfectly",2,15,17,1466807580
Fast delivery and excellent quality,2,17,23,1466883333
Not satisfied with the quality,5,16,36,1466959087
Very good quality and value for money,5,16,23,1467034840
Very good quality and value for money,2,10,37,1467110593
"Poor build quality, stopped working",4,19,33,1467186347
Fast delivery and excellent quality,5,9,39,1467262100
Fast delivery and excellent quality,5,28,46,1467337854
"Terrible experience, would not recommend",4,1,14,1467413607
Decent product for the price,4,0,10,1467489360
"Poor build quality, stopped working",4,21,21,1467565114
Very good quality and value for money,3,19,23,1467640867
Very good quality and value for money,4,0,0,1467716621
"Terrible experience, would not recommend",4,9,17,1467792374
"Great product, works perfectly",5,12,43,1467868127
Packaging was damaged but product works,4,11,11,1467943881
Not satisfied with the quality,5,38,42,1468019634
Packaging was damaged but product works,2,26,27,1468095388
Fast delivery and excellent quality,4,25,39,1468171141
"Average product, nothing special",1,3,6,1468246894
"Poor build quality, stopped working",2,12,22,1468322648
Fast delivery and excellent quality,5,11,20,1468398401
"Great product, works perfectly",5,27,33,1468474154
Packaging was damaged but product works,1,1,10,1468549908
Fast delivery and excellent quality,3,4,21,1468625661
Not satisfied with the quality,5,33,41,1468701415
Very good quality and value for money,2,22,34,1468777168
Decent product for the price,4,25,28,1468852921
Exceeded my expectations,5,28,41,1468928675
Fast delivery and excellent quality,4,2,27,1469004428
"Great product, works perfectly",2,10,17,1469080182
"Poor build quality, stopped working",3,0,13,1469155935
"Average product, nothing special",5,10,17,1469231688
Not satisfied with the quality,4,8,27,1469307442
"Terrible experience, would not recommend",1,13,23,1469383195
"Great product, works perfectly",5,6,7,1469458949
Packaging was damaged but product works,1,8,41,1469534702
Decent product for the price,5,38,44,1469610455
Packaging was damaged but product works,2,7,7,1469686209
Very good quality and value for money,5,2,3,1469761962
Decent product for the price,3,18,26,1469837716
Packaging was damaged but product works,3,35,35,1469913469
"Poor build quality, stopped working",2,3,4,1469989222
Packaging was damaged but product works,3,17,32,1470064976
Not satisfied with the quality,5,4,48,1470140729
Not satisfied with the quality,5,22,33,1470216482
Exceeded my expectations,3,22,29,1470292236
Packaging was damaged but product works,3,5,7,1470367989
"Poor build quality, stopped working",5,25,38,1470443743
"Poor build quality, stopped working",5,41,46,1470519496
Fast delivery and excellent quality,4,11,25,1470595249
"Average product, nothing special",3,18,36,1470671003
Decent product for the price,3,0,33,1470746756
"Great product, works perfectly",4,2,6,1470822510
"Terrible experience, would not recommend",1,26,39,1470898263
Decent product for the price,4,17,27,1470974016
Decent product for the price,3,29,38,1471049770
Very good quality and value for money,5,1,38,1471125523
Decent product for the price,1,4,27,1471201277
Very good quality and value for money,4,12,13,1471277030
Fast delivery and excellent quality,4,32,49,1471352783
"Average product, nothing special",4,19,37,1471428537
"Poor build quality, stopped working",1,1,3,1471504290
Exceeded my expectations,4,41,41,1471580044
"Poor build quality, stopped working",4,4,17,1471655797
Packaging was damaged but product works,4,20,43,1471731550
"Terrible experience, would not recommend",4,14,47,1471807304
"Average product, nothing special",4,19,24,1471883057
"Average product, nothing special",5,0,6,1471958810
Fast delivery and excellent quality,3,30,37,1472034564
"Terrible experience, would not recommend",5,11,27,1472110317
Packaging was damaged but product works,4,4,4,1472186071
Packaging was damaged but product works,1,1,2,1472261824
Exceeded my expectations,1,26,43,1472337577
"Great product, works perfectly",3,11,30,1472413331
"Poor build quality, stopped working",5,25,46,1472489084
Decent product for the price,5,32,41,1472564838
"Terrible experience, would not recommend",5,3,19,1472640591
Packaging was damaged but product works,4,7,18,1472716344
Packaging was damaged but product works,3,0,47,1472792098
"Great product, works perfectly",2,10,10,1472867851
"Average product, nothing special",3,14,39,1472943605
Packaging was damaged but product works,3,1,2,1473019358
Exceeded my expectations,1,0,22,1473095111
Packaging was damaged but product works,2,2,6,1473170865
Packaging was damaged but product works,4,22,22,1473246618
"Great product, works perfectly",5,1,6,1473322371
Exceeded my expectations,5,0,45,1473398125
Not satisfied with the quality,5,30,33,1473473878
Very good quality and value for money,4,15,41,1473549632
"Great product, works perfectly",3,9,18,1473625385
"Average product, nothing special",4,1,8,1473701138
"Average product, nothing special",5,46,47,1473776892
"Terrible experience, would not recommend",2,16,17,1473852645
"Great product, works perfectly",3,29,40,1473928399
Fast delivery and excellent quality,5,9,47,1474004152
"Great product, works perfectly",3,34,44,1474079905
Not satisfied with the quality,4,20,41,1474155659
Packaging was damaged but product works,4,15,24,1474231412
"Great product, works perfectly",2,5,13,1474307166
Fast delivery and excellent quality,3,2,43,1474382919
Decent product for the price,3,8,24,1474458672
Fast delivery and excellent quality,1,10,18,1474534426
"Average product, nothing special",1,20,38,1474610179
Not satisfied with the quality,5,12,14,1474685933
Packaging was damaged but product works,3,1,15,1474761686
Fast delivery and excellent quality,4,25,26,1474837439
Not satisfied with the quality,3,23,39,1474913193
Decent product for the price,5,5,9,1474988946
Exceeded my expectations,3,3,3,1475064699
Exceeded my expectations,3,7,18,1475140453
Exceeded my expectations,5,12,27,1475216206
Decent product for the price,5,9,20,1475291960
Packaging was damaged but product works,2,1,46,1475367713
Very good quality and value for money,5,7,13,1475443466
Very good quality and value for money,4,5,32,1475519220
Not satisfied with the quality,4,47,47,1475594973
Exceeded my expectations,2,1,9,1475670727
"Average product, nothing special",1,16,18,1475746480
Packaging was damaged but product works,5,5,29,1475822233
Very good quality and value for money,4,12,21,1475897987
"Great product, works perfectly",3,2,2,1475973740
"Terrible experience, would not recommend",5,29,36,1476049494
"Poor build quality, stopped working",5,20,40,1476125247
Decent product for the price,2,9,17,1476201000
Decent product for the price,4,7,10,1476276754
Very good quality and value for money,2,42,47,1476352507
Decent product for the price,5,0,1,1476428261
Exceeded my expectations,4,11,11,1476504014
"Poor build quality, stopped working",5,0,5,1476579767
"Average product, nothing special",1,3,42,1476655521
"Great product, works perfectly",1,38,39,1476731274
Not satisfied with the quality,3,23,43,1476807027
"Poor build quality, stopped working",3,28,28,1476882781
"Average product, nothing special",2,21,29,1476958534
Decent product for the price,5,1,1,1477034288
Very good quality and value for money,2,6,8,1477110041
Fast delivery and excellent quality,3,40,46,1477185794
Not satisfied with the quality,5,0,1,1477261548
